ProductId,Score,Popularity
B001GVISJM,4,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,2,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,5,Niche
B001GVISJM,1,Niche
B001GVISJM,4,Niche
B001GVISJW,4,Niche
B001GVISJW,4,Niche
B001GVISJW,5,Niche
B001GVISJW,5,Niche
B001GVISJW,3,Niche
B001ELL9X6,5,Niche
B001ELL9X6,5,Niche
B001ELL9X6,5,Niche
B001ELL9X6,3,Niche
B001ELL9X6,5,Niche
B001ELL9X6,4,Niche
B001ELL9X6,5,Niche
B001ELL9X6,5,Niche
B001ELL9X6,5,Niche
B000VKYKTG,4,Niche
B000VKYKTG,5,Niche
B000VKYKTG,5,Niche
B000VKYKTG,5,Niche
B000VKYKTG,3,Niche
B000VKYKTG,5,Niche
B000VKYKTG,5,Niche
B000VKYKTG,5,Niche
B000VKYKTG,4,Niche
B000VKYKTG,5,Niche
B000VKYKTG,5,Niche
B000VKYKTG,2,Niche
B000VKYKTG,5,Niche
B000VKYKTG,5,Niche
B000VKYKTG,5,Niche
B000VKYKTG,2,Niche
B001FA1L7A,5,Niche
B001FA1L7A,5,Niche
B001FA1L7A,5,Niche
B001FA1L7A,5,Niche
B001FA1L7A,5,Niche
B001FA1L7A,5,Niche
B001FA1L7A,5,Niche
B001FA1L7A,5,Niche
B001FA1L7A,5,Niche
B001HBTGI8,4,Niche
B001HBTGI8,5,Niche
B001HBTGI8,5,Niche
B001HBTGI8,4,Niche
B001HBTGI8,3,Niche
B001HBTGI8,5,Niche
B001HBTGI8,5,Niche
B001HBTGI8,5,Niche
B001HBTGI8,5,Niche
B001HBTGI8,5,Niche
B001HBTGI8,2,Niche
B001HBTGI8,5,Niche
B001HBTGI8,4,Niche
B001HBTGI8,1,Niche
B001HBTGI8,2,Niche
B000E5C1YE,5,Niche
B000E5C1YE,4,Niche
B000E5C1YE,5,Niche
B000E5C1YE,5,Niche
B000E5C1YE,5,Niche
B000E5C1YE,5,Niche
B000E5C1YE,5,Niche
B000NY4SZQ,5,Niche
B000NY4SZQ,5,Niche
B000NY4SZQ,5,Niche
B000NY4SZQ,5,Niche
B000NY4SZQ,5,Niche
B000NY4SZQ,5,Niche
B000NY4SZQ,5,Niche
B0002TJAZK,5,Niche
B0002TJAZK,5,Niche
B0002TJAZK,1,Niche
B0002TJAZK,1,Niche
B0002TJAZK,1,Niche
B0002TJAZK,5,Niche
B0002TJAZK,1,Niche
B0002TJAZK,2,Niche
B0002TJAZK,3,Niche
B0002TJAZK,1,Niche
B0002TJAZK,1,Niche
B0002TJAZK,1,Niche
B0002TJAZK,3,Niche
B000FDKQCY,4,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,4,Niche
B000FDKQCY,5,Niche
B000FDKQCY,3,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,4,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,5,Niche
B000FDKQCY,1,Niche
B000FDKQCY,3,Niche
B000FDKQCY,2,Niche
B000FDKQCY,3,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,1,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000FDKUSO,5,Niche
B000YPKODY,1,Niche
B000YPKODY,5,Niche
B000YPKODY,1,Niche
B000YPKODY,3,Niche
B000YPKODY,1,Niche
B000YPKODY,5,Niche
B000YPKODY,5,Niche
B000YPKODY,3,Niche
B000YPKODY,1,Niche
B000YPKODY,1,Niche
B000YPKODY,5,Niche
B000YPKODY,5,Niche
B000YPKODY,3,Niche
B000YPKODY,2,Niche
B003159ETE,5,Niche
B003159ETE,4,Niche
B003159ETE,5,Niche
B003159ETE,5,Niche
B003159ETE,4,Niche
B003159ETE,5,Niche
B003159ETE,5,Niche
B000CC9V42,5,Niche
B000CC9V42,3,Niche
B000CC9V42,5,Niche
B000CC9V42,4,Niche
B000CC9V42,3,Niche
B000CC9V42,5,Niche
B000CC9V42,4,Niche
B000CC9V42,5,Niche
B000CC9V42,4,Niche
B000CC9V42,5,Niche
B000CC9V42,5,Niche
B000CC9V42,5,Niche
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,4,Popular
B00139TT72,4,Popular
B00139TT72,5,Popular
B00139TT72,3,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,2,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,4,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,3,Popular
B00139TT72,4,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,4,Popular
B00139TT72,4,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,4,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,1,Popular
B00139TT72,5,Popular
B00139TT72,2,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,2,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,2,Popular
B00139TT72,2,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,1,Popular
B00139TT72,5,Popular
B00139TT72,3,Popular
B00139TT72,1,Popular
B00139TT72,1,Popular
B00139TT72,2,Popular
B00139TT72,3,Popular
B00139TT72,1,Popular
B00139TT72,1,Popular
B00139TT72,1,Popular
B00139TT72,5,Popular
B00139TT72,1,Popular
B00139TT72,1,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,5,Popular
B00139TT72,2,Popular
